id_trab,id_turno,lv,sab,dom,fest,v
FIJ001,VADN012,1,0,0,0,0
FIJ002,VADN013,1,0,0,0,0
FIJ003,VADN014,1,0,0,0,0
FIJ004,VADN015,1,0,0,0,0
FIJ005,VADN016,1,0,0,0,0
FIJ006,VADN017,1,0,0,0,0
FIJ007,VADN018,1,0,0,0,0
FIJ008,VADN019,1,0,0,0,0
FIJ009,VADN020,1,0,0,0,0
FIJ010,VADN021,1,0,0,0,0
FIJ011,VADN023,1,0,0,0,0
FIJ012,VADN024,1,0,0,0,0
FIJ013,VADN033,1,0,0,0,0
FIJ014,VADN035,1,0,0,0,0
FIJ015,VADN036,1,0,0,0,0
FIJ016,VADN037,1,0,0,0,0
FIJ017,VADN039,1,0,0,0,0
FIJ018,VADP001,1,0,0,0,0
FIJ019,VADP002,1,0,0,0,0
FIJ020,H,1,0,0,0,0
FIJ021,REF CAL M,1,0,0,0,0
FIJ022,REF CAL T,1,0,0,0,0
FIJ023,VADN151,1,0,0,0,0
FIJ024,VADN153,1,0,0,0,0
FIJ025,VADN161,1,0,0,0,0
FIJ026,VADN164,1,0,0,0,0
FIJ027,VADN171,1,0,0,0,0
FIJ028,VADN172,1,0,0,0,0
FIJ029,VADN174,1,0,0,0,0
FIJ030,VADN175,1,0,0,0,0
FIJ031,VADN176,1,0,0,0,0
FIJ032,VADN178,1,0,0,0,0
FIJ033,VADN179,1,0,0,0,0
FIJ034,VADN182,1,0,0,0,0
FIJ035,VADN183,1,0,0,0,0
FIJ036,VADN191,1,0,0,0,0
FIJ037,VADN192,1,0,0,0,0
FIJ038,VADN193,1,0,0,0,0
FIJ039,VADN195,1,0,0,0,0
MIX001,VADN007,1,0,0,0,0
MIX001,VADN001,0,1,0,0,0
MIX002,VADN008,1,0,0,0,0
MIX002,VADN002,0,1,0,0,0
MIX003,VADN009,1,0,0,0,0
MIX003,VADN003,0,1,0,0,0
MIX004,VADN010,1,0,0,0,0
MIX004,VADN005,0,1,1,0,0
MIX005,VADN011,1,0,0,0,0
MIX005,VADN006,0,1,0,0,0
PAT001,VADN162,1,1,0,1,0
PAT002,VADN162,1,1,0,1,0
PAT003,VADN162,1,1,0,1,0
PAT004,VADN194,0,1,0,0,0
PAT005,VADN194,0,1,0,0,0
PAT006,VADN173,1,1,0,1,0
PAT006,VADN181,1,1,0,1,0
PAT007,VADN173,1,1,0,1,0
PAT007,VADN181,1,1,0,1,0
PAT008,VADN173,1,1,0,1,0
