patron,fila,lun,mar,mie,jue,vie,sab,dom
PAT_ISC,0,LIBRE,LIBRE,VADN162,LIBRE,LIBRE,VADN162,LIBRE
PAT_ISC,1,VADN162,LIBRE,LIBRE,VADN162,LIBRE,LIBRE,LIBRE
PAT_ISC,2,LIBRE,VADN162,LIBRE,LIBRE,VADN162,LIBRE,LIBRE
PAT_MAY,0,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN194,LIBRE
PAT_MAY,1,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT_MED,0,LIBRE,VADN173,LIBRE,VADN173,LIBRE,VADN173,LIBRE
PAT_MED,1,LIBRE,VADN181,LIBRE,VADN181,LIBRE,VADN181,LIBRE
PAT_MED,2,VADN173,LIBRE,VADN173,LIBRE,VADN173,LIBRE,LIBRE
PAT_MED,3,VADN181,LIBRE,VADN181,LIBRE,VADN181,LIBRE,LIBRE
PAT_VAL,0,VADN051,LIBRE,VADN051,LIBRE,VADN051,VADN051,LIBRE
PAT_VAL,1,VADN052,LIBRE,VADN052,LIBRE,VADN052,VADN052,LIBRE
PAT_VAL,2,LIBRE,VADN004,VADN030,LIBRE,VADN022,VADN022,VADN005
PAT_VAL,3,VADN022,VADN006,VADN031,LIBRE,VADN001,VADN027,LIBRE
PAT_VAL,4,VADN001,VADN025,VADN032,LIBRE,VADN002,VADN026,LIBRE
PAT_VAL,5,VADN002,VADN028,VADN034,LIBRE,VADN003,VADN001,LIBRE
PAT_VAL,6,VADN003,VADN029,VADN040,LIBRE,VADN004,VADN002,LIBRE
PAT_VAL,7,VADN004,VADN030,LIBRE,VADN022,VADN006,VADN003,LIBRE
PAT_VAL,8,VADN006,VADN031,LIBRE,VADN001,VADN025,VADN006,LIBRE
PAT_VAL,9,VADN025,VADN032,LIBRE,VADN002,VADN152,VADN025,LIBRE
PAT_VAL,10,VADN028,VADN034,LIBRE,VADN003,VADN028,VADN028,LIBRE
PAT_VAL,11,VADN029,VADN040,LIBRE,VADN004,VADN029,VADN029,LIBRE
PAT_VAL,12,VADN030,LIBRE,VADN022,VADN006,VADN030,VADN030,LIBRE
PAT_VAL,13,VADN031,LIBRE,VADN001,VADN025,VADN031,VADN031,LIBRE
PAT_VAL,14,VADN032,LIBRE,VADN002,VADN028,VADN032,VADN034,LIBRE
PAT_VAL,15,VADN034,LIBRE,VADN003,VADN029,VADN034,VADN038,LIBRE
PAT_VAL,16,VADN040,LIBRE,VADN004,VADN030,LIBRE,VADN152,LIBRE
PAT_VAL,17,VADN152,VADN152,VADN152,VADN152,LIBRE,VADN005,LIBRE
PAT_VAL,18,VADN005,VADN005,VADN005,VADN005,LIBRE,LIBRE,VADN051
PAT_VAL,19,LIBRE,VADN051,LIBRE,VADN051,LIBRE,LIBRE,VADN052
PAT_VAL,20,LIBRE,VADN052,LIBRE,VADN052,LIBRE,LIBRE,VADN022
PAT_VAL,21,LIBRE,VADN022,VADN006,VADN031,VADN040,LIBRE,VADN025
PAT_VAL,22,LIBRE,VADN001,VADN025,VADN032,LIBRE,LIBRE,VADN028
PAT_VAL,23,LIBRE,VADN002,VADN028,VADN034,LIBRE,LIBRE,VADN029
PAT_VAL,24,LIBRE,VADN003,VADN029,VADN040,LIBRE,LIBRE,VADN040
PAT_MED_24H,0,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE
PAT_MED_24H,1,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177
PAT_MED_24H,2,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT_MED_24H,3,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT_VAL_24H,0,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADP003,LIBRE
PAT_VAL_24H,1,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127,LIBRE
PAT_VAL_24H,2,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADP003
PAT_VAL_24H,3,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127
PAT_VAL_24H,4,VADP003,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE
PAT_VAL_24H,5,VADU47127,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE
PAT_VAL_24H,6,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT_VAL_24H,7,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
