id_trab,tipo,patron,vac1_inicio,vac2_inicio
FIJ001,fijo,,05/01/2026,06/07/2026
FIJ002,fijo,,19/01/2026,20/07/2026
FIJ003,fijo,,02/02/2026,03/08/2026
FIJ004,fijo,,16/02/2026,17/08/2026
FIJ005,fijo,,02/03/2026,31/08/2026
FIJ006,fijo,,16/03/2026,14/09/2026
FIJ007,fijo,,30/03/2026,28/09/2026
FIJ008,fijo,,13/04/2026,12/10/2026
FIJ009,fijo,,27/04/2026,26/10/2026
FIJ010,fijo,,11/05/2026,09/11/2026
FIJ011,fijo,,25/05/2026,23/11/2026
FIJ012,fijo,,08/06/2026,07/12/2026
FIJ013,fijo,,22/06/2026,21/12/2026
FIJ014,fijo,,06/07/2026,05/01/2026
FIJ015,fijo,,20/07/2026,19/01/2026
FIJ016,fijo,,03/08/2026,02/02/2026
FIJ017,fijo,,17/08/2026,16/02/2026
FIJ018,fijo,,31/08/2026,02/03/2026
FIJ019,fijo,,14/09/2026,16/03/2026
FIJ020,fijo,,28/09/2026,30/03/2026
FIJ021,fijo,,12/10/2026,13/04/2026
FIJ022,fijo,,26/10/2026,27/04/2026
FIJ023,fijo,,09/11/2026,11/05/2026
FIJ024,fijo,,23/11/2026,25/05/2026
FIJ025,fijo,,07/12/2026,08/06/2026
FIJ026,fijo,,21/12/2026,22/06/2026
FIJ027,fijo,,05/01/2026,06/07/2026
FIJ028,fijo,,19/01/2026,20/07/2026
FIJ029,fijo,,02/02/2026,03/08/2026
FIJ030,fijo,,16/02/2026,17/08/2026
FIJ031,fijo,,02/03/2026,31/08/2026
FIJ032,fijo,,16/03/2026,14/09/2026
FIJ033,fijo,,30/03/2026,28/09/2026
FIJ034,fijo,,13/04/2026,12/10/2026
FIJ035,fijo,,27/04/2026,26/10/2026
FIJ036,fijo,,11/05/2026,09/11/2026
FIJ037,fijo,,25/05/2026,23/11/2026
FIJ038,fijo,,08/06/2026,07/12/2026
FIJ039,fijo,,22/06/2026,21/12/2026
MIX001,mixto,,06/07/2026,05/01/2026
MIX002,mixto,,20/07/2026,19/01/2026
MIX003,mixto,,03/08/2026,02/02/2026
MIX004,mixto,,17/08/2026,16/02/2026
MIX005,mixto,,31/08/2026,02/03/2026
PAT001,patron,PAT_ISC,14/09/2026,16/03/2026
PAT002,patron,PAT_ISC,28/09/2026,30/03/2026
PAT003,patron,PAT_ISC,12/10/2026,13/04/2026
PAT004,patron,PAT_MAY,26/10/2026,27/04/2026
PAT005,patron,PAT_MAY,09/11/2026,11/05/2026
PAT006,patron,PAT_MED,23/11/2026,25/05/2026
PAT007,patron,PAT_MED,07/12/2026,08/06/2026
PAT008,patron,PAT_MED,21/12/2026,22/06/2026
PAT009,patron,PAT_MED,05/01/2026,06/07/2026
PAT010,patron,PAT_VAL,19/01/2026,20/07/2026
PAT011,patron,PAT_VAL,02/02/2026,03/08/2026
PAT012,patron,PAT_VAL,16/02/2026,17/08/2026
PAT013,patron,PAT_VAL,02/03/2026,31/08/2026
PAT014,patron,PAT_VAL,16/03/2026,14/09/2026
PAT015,patron,PAT_VAL,30/03/2026,28/09/2026
PAT016,patron,PAT_VAL,13/04/2026,12/10/2026
PAT017,patron,PAT_VAL,27/04/2026,26/10/2026
PAT018,patron,PAT_VAL,11/05/2026,09/11/2026
PAT019,patron,PAT_VAL,25/05/2026,23/11/2026
PAT020,patron,PAT_VAL,08/06/2026,07/12/2026
PAT021,patron,PAT_VAL,22/06/2026,21/12/2026
PAT022,patron,PAT_VAL,06/07/2026,05/01/2026
PAT023,patron,PAT_VAL,20/07/2026,19/01/2026
PAT024,patron,PAT_VAL,03/08/2026,02/02/2026
PAT025,patron,PAT_VAL,17/08/2026,16/02/2026
PAT026,patron,PAT_VAL,31/08/2026,02/03/2026
PAT027,patron,PAT_VAL,14/09/2026,16/03/2026
PAT028,patron,PAT_VAL,28/09/2026,30/03/2026
PAT029,patron,PAT_VAL,12/10/2026,13/04/2026
PAT030,patron,PAT_VAL,26/10/2026,27/04/2026
PAT031,patron,PAT_VAL,09/11/2026,11/05/2026
PAT032,patron,PAT_VAL,23/11/2026,25/05/2026
PAT033,patron,PAT_VAL,07/12/2026,08/06/2026
PAT034,patron,PAT_VAL,21/12/2026,22/06/2026
PAT035,patron,PAT_MED_24H,05/01/2026,06/07/2026
PAT036,patron,PAT_MED_24H,19/01/2026,20/07/2026
PAT037,patron,PAT_MED_24H,02/02/2026,03/08/2026
PAT038,patron,PAT_MED_24H,16/02/2026,17/08/2026
PAT039,patron,PAT_VAL_24H,02/03/2026,31/08/2026
PAT040,patron,PAT_VAL_24H,16/03/2026,14/09/2026
PAT041,patron,PAT_VAL_24H,30/03/2026,28/09/2026
PAT042,patron,PAT_VAL_24H,13/04/2026,12/10/2026
PAT043,patron,PAT_VAL_24H,27/04/2026,26/10/2026
PAT044,patron,PAT_VAL_24H,11/05/2026,09/11/2026
PAT045,patron,PAT_VAL_24H,25/05/2026,23/11/2026
PAT046,patron,PAT_VAL_24H,08/06/2026,07/12/2026
COR001,correturno,,22/06/2026,21/12/2026
COR002,correturno,,06/07/2026,05/01/2026
COR003,correturno,,20/07/2026,19/01/2026
COR004,correturno,,03/08/2026,02/02/2026
COR005,correturno,,17/08/2026,16/02/2026
COR006,correturno,,31/08/2026,02/03/2026
