fecha,id_turno,tipo,municipio
05/01/2026,VADN003,mañana,Valladolid
05/01/2026,VADN004,mañana,Valladolid
05/01/2026,VADN035,tarde,Valladolid
07/01/2026,VADN024,mañana,Valladolid
07/01/2026,VADN025,mañana,Valladolid
07/01/2026,VADN035,tarde,Valladolid
08/01/2026,VADN007,mañana,Valladolid
08/01/2026,VADN035,tarde,Valladolid
09/01/2026,VADN007,mañana,Valladolid
09/01/2026,VADN035,tarde,Valladolid
12/01/2026,VADN035,tarde,Valladolid
13/01/2026,VADN001,mañana,Valladolid
13/01/2026,VADN005,mañana,Valladolid
13/01/2026,VADN035,tarde,Valladolid
13/01/2026,VADN176,mañana,Medina
14/01/2026,VADN007,mañana,Valladolid
14/01/2026,VADN035,tarde,Valladolid
15/01/2026,VADN007,mañana,Valladolid
15/01/2026,VADN035,tarde,Valladolid
16/01/2026,VADN007,mañana,Valladolid
16/01/2026,VADN012,mañana,Valladolid
16/01/2026,VADN035,tarde,Valladolid
17/01/2026,VADN006,mañana,Valladolid
19/01/2026,VADN004,mañana,Valladolid
19/01/2026,VADN007,mañana,Valladolid
19/01/2026,VADN008,mañana,Valladolid
19/01/2026,VADN013,mañana,Valladolid
19/01/2026,VADN023,mañana,Valladolid
19/01/2026,VADN035,tarde,Valladolid
19/01/2026,VADN036,tarde,Valladolid
19/01/2026,VADN171,noche,Medina
20/01/2026,VADN022,mañana,Valladolid
20/01/2026,VADN036,tarde,Valladolid
20/01/2026,VADN172,mañana,Medina
21/01/2026,VADN024,mañana,Valladolid
21/01/2026,VADN036,tarde,Valladolid
21/01/2026,VADN172,mañana,Medina
22/01/2026,VADN036,tarde,Valladolid
23/01/2026,VADN036,tarde,Valladolid
24/01/2026,VADN022,mañana,Valladolid
26/01/2026,VADN001,mañana,Valladolid
26/01/2026,VADN003,mañana,Valladolid
26/01/2026,VADN004,mañana,Valladolid
26/01/2026,VADN008,mañana,Valladolid
26/01/2026,VADN009,mañana,Valladolid
26/01/2026,VADN011,mañana,Valladolid
26/01/2026,VADN013,mañana,Valladolid
26/01/2026,VADN023,mañana,Valladolid
26/01/2026,VADN025,mañana,Valladolid
26/01/2026,VADN036,tarde,Valladolid
26/01/2026,VADN172,mañana,Medina
27/01/2026,VADN001,mañana,Valladolid
27/01/2026,VADN002,mañana,Valladolid
27/01/2026,VADN004,mañana,Valladolid
27/01/2026,VADN006,mañana,Valladolid
27/01/2026,VADN008,mañana,Valladolid
27/01/2026,VADN009,mañana,Valladolid
27/01/2026,VADN011,mañana,Valladolid
27/01/2026,VADN013,mañana,Valladolid
27/01/2026,VADN023,mañana,Valladolid
27/01/2026,VADN025,mañana,Valladolid
27/01/2026,VADN036,tarde,Valladolid
27/01/2026,VADN152,mañana,Valladolid
27/01/2026,VADN172,mañana,Medina
28/01/2026,VADN008,mañana,Valladolid
28/01/2026,VADN013,mañana,Valladolid
28/01/2026,VADN036,tarde,Valladolid
29/01/2026,VADN005,mañana,Valladolid
29/01/2026,VADN008,mañana,Valladolid
29/01/2026,VADN013,mañana,Valladolid
29/01/2026,VADN036,tarde,Valladolid
29/01/2026,VADN152,mañana,Valladolid
30/01/2026,H,mañana,Valladolid
30/01/2026,REF CAL M,mañana,Valladolid
30/01/2026,VADN004,mañana,Valladolid
30/01/2026,VADN007,mañana,Valladolid
30/01/2026,VADN008,mañana,Valladolid
30/01/2026,VADN010,mañana,Valladolid
30/01/2026,VADN012,mañana,Valladolid
30/01/2026,VADN013,mañana,Valladolid
30/01/2026,VADN014,mañana,Valladolid
30/01/2026,VADN015,mañana,Valladolid
30/01/2026,VADN016,mañana,Valladolid
30/01/2026,VADN017,mañana,Valladolid
30/01/2026,VADN018,mañana,Valladolid
30/01/2026,VADN019,mañana,Valladolid
30/01/2026,VADN020,mañana,Valladolid
30/01/2026,VADN021,mañana,Valladolid
30/01/2026,VADN025,mañana,Valladolid
30/01/2026,VADN036,tarde,Valladolid
30/01/2026,VADN037,tarde,Valladolid
30/01/2026,VADN151,mañana,Penafiel
30/01/2026,VADN152,mañana,Valladolid
30/01/2026,VADN161,mañana,Iscar
30/01/2026,VADN164,tarde,Iscar
30/01/2026,VADN171,noche,Medina
30/01/2026,VADN172,mañana,Medina
30/01/2026,VADN174,mañana,Medina
30/01/2026,VADN175,mañana,Medina
30/01/2026,VADN176,mañana,Medina
30/01/2026,VADN179,tarde,Medina
30/01/2026,VADN182,mañana,Tordesillas
30/01/2026,VADN191,mañana,Mayorga
30/01/2026,VADN192,mañana,Mayorga
30/01/2026,VADN193,mañana,Mayorga
30/01/2026,VADN195,tarde,Mayorga
30/01/2026,VADP001,mañana,Valladolid
30/01/2026,VADP002,mañana,Valladolid
